Day,S,E,I,R
0,99.0,1.0,0.0,0.0
1,49.9,0.3999999999999999,0.2,49.5
2,44.96006,0.18993999999999991,0.18,54.67
3,44.4717275676,0.10025443239999994,0.127988,55.30003
4,44.43009721435624,0.05717731536376593,0.08404488647999998,55.428680583799995
5,44.4318073540056,0.03407329357553417,0.05345790631275318,55.48066144610611
6,44.43605504121605,0.020755011614723852,0.03354361187148343,55.50964633529774
7,44.4391338667714,0.012773641996096817,0.020922808258686483,55.52716968297382
8,44.44112401224591,0.007898831229668403,0.013016132528562605,55.53796102399586
9,44.442377046545005,0.004894887171452396,0.008087832510214983,55.54464023377332
